diagnosis | icd,count
Neuralgie des Nervus occipitalis major links | G44.8,1
Arzneimittel induzierte Polyneuropathie nach Chemotherapie | G62.22,1
Z.n. Resektion eines invasiv Mamma-CA links 11/2020 | C50.4,1
"Obstruktives Schlafapnoesyndrom, ED 2018 | G47.31",1
"Post-Herpes-Neuralgie, Z. n. Herpes Zoster 2/2023 B02.2, | G53.0",1
Pollenallergie | J30.1,1
"Seropositive Rheumatoide Arthritis, EM 12/2016 | M06.99",1
Sekundäres Schmerzsyndrom vom Typ der Fibromyalgie | M79.70,1
Vorfuß-/Mittelfußarthrose rechts | M19.07,1
"Raynaud Syndrom, Hautveränderungen, Myalgien Arthralgien,..), ED 03/2017 | M35.9",1
Sek. Fibromyalgiesyndrom | M79.70,1
Zustand nach Reaktivierung einer chronischen inflammatorischen Polyneuropathien mit Multiplexverteilungtyp | G62.88,1
Knieschmerzen bds. | M16.0,1
Hüfteschmerzen bds. | M17.0,1
Kollagenose a.e. Sjögren-Syndrom | M35.0,1
Subakuter kutaner Lupus erythematodes | L93.1,1
"Lymphödem der unteren Extremität, Stadium II beidseits | I89.01",1
"Lip-Lymphödem der unteren Extremität, Stadium II | I89.04",1
Nichtorganische Insomnie | F50.1,1
Migräneartige Kopfschmerzen | R51,1
Polyneuropathie vom Typ Charcot-Marie-Tooth | G62.9,1
Chronische-degeneratives HWS-Syndrom | M54.82,1
"Rheumatoide Arthritis, ED 1996, Rheumafaktor- und CCP-positiv | M06.90",1
Gastroösophageale Refluxkrankheit bei axialer Hiatushernie | K21.9,1
Medianusneuritis links | G56.1,1
Lipödem Grad 2 Typ 4 | E88.21,1
"Epilepsie, aktuell anfallsfrei unter Therapie (vormals Grand mal) | G40.9",1
des Corpus uteri 09/2024 | C54.1,1
intraop. Bestrahlung 6/2021 | C50.0,1
Hüfteschmerzen rechts | M16.9,1
Sjögren-Syndrom mit Reizhusten | M35.0,1
Kopfschmerzen | R52.9,1
Small Fiber Neuropathie | G62.88,1
"Chronische Polyarthritis, ED 2015 | M06.90",1
Polyarthrose der Fingergelenke | M19.04,1
Adipositas | E66.6,1
Chron. Sinusitis | J32.9,1
Verdauungsbeschwerden | K59.8,1
"Z.n. Mammakarzinom rechts, ED 2016 | C50.9",1
Chron. degenerat. Wirbelsäulensyndrom | M54.80,1
Schultergelenkschmerzen | M19.01,1
Hand- und Fingergelenkschmerzen | M25.54,1
Metatarsalgie rechts | M77.4,1
ACG-Arthrose rechts | M19.01,1
Epicondylitis humeri radialis beidseits | M77.1,1
Syndrom polyzystischer Ovarien | E28.2,1
Multiple Nahrungsmittelallergien bzw. –unverträglichkeiten | T78.1,1
"Asthma bronchiale, ED 1984 | J45.9",1
Frozen Shoulder nach Tuberculum majus Fractur 01/2017 | M75.0,1
Hypothyreose bei Z.n. subtotaler Thyreoidektomie (2005) bei M. Basedow | E03.9,1
Z. n. atypischer Pneumonie durch Mykoplamen 01/2022 | J18.9,1
Anankastische Persönlichkeitsstruktur | F60.5,1
"Fingergelenke links, Daumensattelgelenke und Sprunggelenke) | M25.50",1
nach konservativen Therapie einer Spondylodiszitis L3/4 | R52.2,1
Z. n. atypischer Pneumonie durch Mykoplasmen 01/2022 | J18.9,1
Beginnende Polyarthrose der Fingergelenke bds. | M15.9,1
Z.n. Mammakarzinom rechts unten ED 10/2017 | C50.9,1
Colitis ulcerosa ED 1984 | K51.9,1
Chronisch rezidivierende Urticaria | L50.8,1
Axonale Polyneuropathie | G62.9,1
Parageusie bei Z.n. Hirnstammischämie 3/2015 | R43.2,1
Hypothyreose bei Z.n. Thyreoidektomie 1990 | E03.8,1
"Lymph- und Lipödem Arme und Beine I89.09, | R60.9",1
Unklare Hepatopathie mit fluktuirender Transamninasenaktivität | K76.9,1
"Colitis ulcerosa, ED 2016 | K51.9",1
Rezidivierende Herpes zoster gluteal links | B02.8,1
Hypothyreose postoperativ | E89.0,1
V.a. Tolosa-Hunt Syndrom | H05.01,1
Knieschmerzen bds. | M22.4,1
"Colitis ulcerosa mit Gelenkbeteiligung, ED 2006 K51.9, | M07.50",1
"Morbus Crohn, ED 06/2003 | K50.9",1
Lactoseintoleranz | E73.9,1
LWS-Schmerzen´ | M54.86,1
Wechseljahrebeschwerden | N95.8,1
"Z.n. Mama Ca rechts, ED 12/2017 | C50.9",1
LWS-Syndrom links | M54.86,1
Lupoide Rosacea | L71.8,1
Reizdarmsyndrom | K50.9,1
Lumbosakralsyndrom | M54.87,1
"Spondylarthrose LWK3/4 und LWK 4/5, Osteochondrose LWK 5/SWK 1 | M47.96",1
Schmerz. Missempfindungen im Bereich der Füße und Unterschenkel bds. | R20.2,1
Beginnende zervikale Myelopathie bei | G99.2,1
Spinalkanalstenose HWK4-HWK 7 | M48.02,1
Spinalkanalstenose L3/4 bei Spondylolisthese Meyerding Grad 1 | M48.06,1
Anamnestisch Muskuläre Krämpfe und Faszikulationen | R25.2,1
Schmerzhafte Parästhesien an der Füßen | R20.2,1
"Colitis ulcerosa, ED 2000 | K51.9",1
Chron Rückenschmerzen | M54.80,1
"Rosazeaartige Dermatitis, ED 03/2025 | L30.9",1
Diabetes mellitus Typ 2 | E11.99,1
Diabetes insipidus | E23.2,1
Coxarthrose rechts | M16.9,1
"Fibromyalgiesyndrom, ED 2014 | M79.70",1
"Impingement Syndrom re, ED 2016 | M75.4",1
Sclerodermia circumscripta | L94.0,1
Helicobacter pylori-negative geringe Gastritis | K29.6,1
BWS-Syndrom re | M54.84,1
"Herzrhythmusstörungen mit SVES, VES | I49.4",1
Aortenklappe | I08.3,1
Spondylitis ankylosans | M45.00,1
"HLA B27 positiv mit rezidivierender Iritis, ED 1998 | M46.99",1
Morbus Crohn | K50.9,1
Diabetes mellitus Typ 2 (diätetisch geführt) | E11.90,1
"Hyperkinetisches Herzsyndrom, ED 1994 | I51.9",1
Deg. WS-Syndrom | M54.80,1
Schultergelenk Schmerzen rechts | M79.61,1
"Restless-legs-Syndrom, ED 2016 | G25.81",1
"Arterielle Hypertonie, ED 12/2006 | I10.90",1
HWS- und LWS-Verspannungen | M54.80,1
Seborrhoisches Ekzem | L21.9,1
V. a. Prurigo-Variante bei atopischer Disposition | L28.2,1
Mittelfußarthrose bds. | M19.97,1
Plantarfasziitis rechts | M72.2,1
Kalkaneussporn | M77.3,1
Myelitis HWK 3/4 und BWK 5/6 DD autoimmun-entzündlich | G04.9,1
Degeneratives Wirbelsäulensyndrom | M54.80,1
Manifeste Osteoporose | M80.08,1
"Monoklonale Gammopathie unklarer Signifikanz (IgG Kappa), ED 05/2017 | D47.2",1
Hashimoto-thyreoiditis | E06.3,1
"HWS-, BWS-Syndrom | M54.80",1
"Anti-CCP-Ak, Rheumafaktor positive rheumatoide Arthritis, ED 09/2014 | M05.90",1
Pollinosis | J30.1,1
Belastungsasthma | J45.19,1
Klimakterische Beschwerden | N95.9,1
Tinnitus aurium linksbetont | H93.1,1
"Rheumatoide Arthritis, ED 1996, Rheumafaktor- u. CCP-positiv | M06.90",1
Gastroäsophageale Refluxkrankheit bei axialer Hiatushernie | K21.9,1
Tinnitus aurium rechtsbetont | H93.1,1
Somatoformer Schwindel | R42,1
Knieschmerzen links | M25.16,1
Fibromyalgie mehrere Lokalisationen | M79.70,1
Chronische Migräne | G43.8,1
Obstruktives Schlafapnoesyndrom | G43.31,1
Degeneratives LWS-Syndrom | M54.86,1
"Hashimoto Thyreoiditis, ED 2007 | E06.3",1
Chron. Schwindel | R42,1
Migräne | G4,1
"Polyarthrose, der Finger-, Hand- und Sprunggelenke | M15.9",1
Hereditäres Beinlymphödem | Q82.01,1
Hypohyreose | E06.3,1
Autoimmune Thyreoiditis | E06.3,1
Beginnende Polyarthrose | M15.0,1
Degeneratives HWS/BWS-Syndrom | M54.80,1
"Trigeminusneuralgie des 2.Astes rechts, postinfektiös | G50.0",1
Wartenberg Syndrom rechts | G56.3,1
HWS/BWS-Syndrom bei Bandscheibenvorfällen in mehreren Etagen | M54.80,1
Schultergelenksarthrose links | M19.01,1
"BET, Radiatio | C50.9",1
Karpaltunnel-Syndrom bds. | G56.0,1
"Chronische Polyarthritis, HLA B27 pos. | M79.00",1
Polyarthrose | M15.0,1
Zervikobrachial-Syndrom rechts | M53.1,1
Sulcus ulnaris Syndrom re | G56.2,1
Knieschmerze bds. | M25.56,1
Z. n. bösartiger Neubildung Brustdrüse | C50.9,1
Arzneimittelinduzierte Osteoporose | M81.49,1
"Sigmadivertikulose, Z. n. erstem Schub einer Sigmadivertikulitis 7/2012 | K57.3",1
Oberkieferneuralgie rechts bei Z. n. Kieferostitis | M79.28,1
BWS- und LWS-Syndrom | M54.80,1
KHK ohne interventionsbedürftige Stenosen | I25.9,1
Asthma bronchiale | I45.1,1
WS-Syndrom | M54.82,1
Degeneratives LWS | M54.86,1
Osteochondrosen LWK 4 bis SWK 1 | M42.16,1
Lichen Rubber | L43.9,1
Einschränkung der tiefen Inspiration | M54.84,1
Lumboischialgie rechts | M54.4,1
Rhizarthrose beidseits | M18.0,1
Chronische Bauchbeschwerden | R10.4,1
Fußschmerzen bds. | M21.63,1
"M. Crohn, ED 1990 | K50.9",1
Chronische abdominelle Schmerzen | R10.4,1
Inkompletter Linksschenkelblock | I44.6,1
Nikotinkonsum | F17.1,1
"Seropositive Rheumatoide Arthritis, ED 09/2003 | M05.90",1
"Niedrig malignen Non-Hodgkin-Lymphom der B-Zellreihe, ED 12/2016 | C85.1",1
"Sensible, axonale Polyneuropathie einschl. neuropathischer Schmerz | G62.9",1
"Lupus erythematodes, ED 06/2013 | L93.1",1
"Primär biliäre Zirrhose, ED 2009 | K74.3",1
Chronischer Gesichtsschmerz beidseits bei | G50.1,1
- Postzosterneuralgie des Neuralgie des N.trigeminus links (V3 links) | G53.0,1
- Craniomadibuläre Dysfunktion | K07.6,1
"Progressive systemische Sklerodermie, SCL-70 Antikörper pos. (ED 1999) | M34.0",1
"Lungenfibrose mit mittelgradig eingeschränkter Lungenkapazität, leichter Diffusionsstörung und leicht erhöhtem pulmonalarteriellem Druck | J99.1",1
"Schwere Raynaud-Symptomatik, Z.n. Fingerkuppenulcerationen | I73.0",1
Hypothyreose nach Schilddrüsenresektion | E89.0,1
Überaktive Blase mit Dranginkontinenz | N32.8,1
Schulterschmerzen bds. | M50.1,1
Restless legs Syndrom | G25.81,1
"Sarkoidose, ED 08/2014 | D86.9",1
"Morbus Basedow, Z.n. Thyreoidektomie 4/2010 | E89.0",1
V.a. Reizdarmsyndrom | K58.0,1
Hyperventilation | R06.4,1
"Multiple Sklerose, ED 2007 | G35.20",1
Bandscheibenvorfall L2/3 | M51.9,1
Fußheberparese links und Sensibilitätsdefizit im Dermatom L5 | G57.8,1
"Colitis ulcerosa, ED 1997 | K51.9",1
V.a. Colitis assoziierte arthritis | M07.40,1
AA bei Vorhofflimmern | I48.0,1
Tinnitus aurium re. | H93.1,1
"Morbus Crohn, ED 06/2012 | K50.1",1
mit assoziierten Arthralgien | M07.40,1
Chronische Sinusitis max. und ethmoidalis bds. | J32.4,1
Hüfteschmerzen links | M79.65,1
Hüfte schmerzen rechts | M16.9,1
Omalgie bds | M25.51,1
Impingement-Syndrom der Schulter rechts | M75.4,1
Achillodynie bds. | M76.6,1
Ulceröse Refluxösophagitis | K21.0,1
Bursitis trochanterica rechts | M77.9,1
Struma nodosa diffusa | E04.9,1
Diabetes mellitus Typ IIE | E11.90,1
"Hashimoto Thyreoiditis, ED 2017 | E06.3",1
Hüftenschmerzen bds. | M16.9,1
Zehenfraktur 11/2011 | M89.07,1
Rezid. beidseitigen Knie- und Hüftgelenkschmerzen rechts | M25.50,1
"Impingement-Syndrom Schultern bds., links mehr als rechts | M62.61",1
Chron. Schmerzsyndrom der Brust- und Lendenwirbelsäule | M54.90,1
Primäre biliäre AMA-negative Zirrhose | K74.3,1
Leichte kognitive Störung | F06.7,1
Großzehengrundgelenkarthrose li. | M19.97,1
Z.n. Knie-Schlittenprothese rechts 01/2023 | M17.9,1
Überlappungssyndrom Sjögren/Systemischen Lupus erythematodes | M35.9,1
"Arthritis psoriatica, HLA-B27 negativ | L40.5",1
"Psoriasis capitis, ED 2002 | L40.0",1
"mit sekundärem Lymphödem linkes Bein, EM 2008 | I89.09",1
Tendinitis calcarea der rechten Schulter | M79.61,1
Reizdarmsyndrom mit Diarrhoe | K58.0,1
Livedo racemosa bei Antiphospolipid-Syndrom | M30.8,1
Schulter schmerzen links | M25.51,1
Keratokonus bds. | H18.6,1
"Vielfache Allergien gegen Gräser, Katze, etc. | Z88.9",1
Unterleibschmerzen sowie Rezidivierenden Harnwegsinfekten | N39.0,1
"Z.n. teils endometroidem, teils klarzelligem Adenokarzinom des Endometrium, FIGO IIB, ED 2010, Z.n. Wertheim-Meigs-Operation mit iatrogener Ureterläsion 2010 | C54.1",1
"brusterhaltende Therapie, Radiochemotherapiebis 07/2016 | C50.4",1
"Axiale Spondyloarthritis, HLA-27 positiv, ED 10/2014 mit | M45.00",1
Sekundäre Fibromyalgie | M79.70,1
"Seronegative Arthritis der Hände, ED 2003, HLA B 27 positiv | M06.90",1
Substituierte Hypothyreose | E03.9,1
"Asymmetrisch rechtsbetonte, sensorische Polyneuropathie | G62.88",1
PAVK vom Oberschenkeltyp | I70.29,1
"Colitis ulcerosa, ED 1989 | K51.9",1
BWS-Syndorm | M54.84,1
Colitis ulcerosa | K51.9,1
Degeneratives LWS-Syndrom mit Osteochondrose L5/S1 | M54.86,1
Impingement rechtes Shultergelenk | M75.4,1
Hypothyreose bei Z.n. Strumektomie 2010 | E89.0,1
Zystische Fibrose mit sonstigen Manifestationen | E84.88,1
Sekundär biliäre Zirrhose | K74.4,1
Pankreasinsuffizienz | K86.8,1
Schleimig-eitrige chronische Bronchitis | J41.1,1
Bronchiektasien | J47,1
Hydronephrose links | N13.3,1
Nephrolitiasis | N20.0,1
Generalisierte idiopatische Epilepsie und epileptische Syndrome | G40.4,1
Refluxösophagitis Grad A | K50,1
Asthma bronchial | J45.9,1
Struma multinodosa mit großen zystischen Knoten | E04.2,1
Antiphospholipid-AK | M32.9,1
Sekundäres Sicca-Syndrom | M35.0,1
Schwindel unklarer Ursache | R42,1
Chronische Pansinusitis mit anhaltender nasaler Obstruktion | J32.4,1
Rhizarthrose links | M18.1,1
HWS-Syndrom links | M54.82,1
"Eisenmangelanämie, ED 2017 | D50.9",1
Rechtschenkelblock | I45.41,1
Gonarthrose | M17.0,1
Schulterschmerzen rechts | M75.0,1
"Hüfteschmerzen links, | M79.65",1
Rezidiv. paroxysmales Vorhofflimmern | I48.0,1
Hüftenschmerzen linksbetont | M17.9,1
* Fibromyalgie | M79.70,1
* Degeneratives HWS-Syndrom | M54.82,1
und im linken Arm | R20.8,1
COPD GOLD Grad II/III | J44.99,1
Hypothyreose bei Z.n. partialer Thyreoidektomie 1971 | E03.9,1
Chronisches lumbales LWS-Syndrom | M54.86,1
"Rheumatoide Arthritis, ED 2016, Rheumafaktor und ACPA-positiv | M05.90",1
Sekundäres Fibromyalgie-Syndrom | M79.70,1
Degeneratives LWS- und HWS-Syndrom | M54.90,1
Großzehengrundgelenksarthrose bds. | M19.07,1
Migräneartige Kopfschmerzen | G44.2,1
Hashimoto Thyreoiditis | E06.9,1
"Rezidiv. Herpes-Zoster-Affektionen, meist Gesäß B02.2, | G53.0",1
OAK mit Marcumar | Z95.2,1
Tendinitis calcarea der Supraspinatussehne bds. | M75.3,1
- V.a. -Post-COVID-19-Syndrom | U09.9,1
Nichtorganische Insomnei | F51.0,1
Wechseljahrenbeschwerden | N95.9,1
Lumbosacral-Syndrom | M54.87,1
"Colitis ulcerosa, ED 2005 | K51.9",1
Primäre Koxarthrose bds. | M16.0,1
Radikulopathie Lumbosakralbereich | M54.17,1
"Generalisierte, zirkumskripte Sklerodermie | L94.0",1
"Xerosis cutis, Integument | L85.3",1
Xerostomie | K11.7,1
Chron. LWS-Syndrom bei | M54.86,1
Bandscheibenprolaps L5/S1 | M51.8,1
Hallux valgus et rigidus rechts mit Metatarsalgie | M20.1,1
Reizknie rechts | M23.89,1
V.a. Neuralgie des N. ilioinguinalis links | M79.29,1
"Gastroösophageale Refluxkrankheit, ohne Ösophagitis | K21.9",1
"M. Grover, ED 2015 | L11.1",1
Fibomyalgie | M79.70,1
Axonale demyelinisierende Polyneuropathie | G62.9,1
"Feuchte Makuladegeneration rechts, ED 03/2022 | H35.321",1
Schmerzen im Bereich des linken Vorfußes | M25.5,1
Fingergelenkschmerzen | M15.9,1
Laktose Unverträglichkeiten | E73.9,1
Polyneuropahtie | G62.9,1
Hypothyreose | E06.3,1
Zervikobrachialsyndrom bds. mit Pseudoradikuärensyndrom li. betont bei degen. Veränderungen mit Neuroforamenstenose C5/6 und C6/7 bds. | M53.1,1
V.a. Myopathie unklarer Genese | G72.9,1
Multiple Sklerose | G35.9,1
Chronische bronchitis | J41.0,1
Z.n. septischer Prostatitis bei vorbestehender Prostatahyperplasie mit Z. n. TUPR und länger dauernder Urininkontinenz | N41.0,1
"mit Funktionsstörung bei Z.n. Arbeitsunfall am 16.02.2015 mit Distorsion li. Handgelenk, knöchernen SL-Bandausriss. | M79.63",1
Polyarthritis | M06.90,1
- Parästhesien beider Beine und li. Arm | R20.2,1
- Gangstörung | R26.8,1
Z.n. Thalamusinsult rechts 03/2018 | I63.9,1
"Z.n. Einkammer-SM-Implantation (Typ Enitra 8 SR-T, Fa Biotronic bei | Z95.0",1
Hochgradige Skoliose im Thorakolumbalbereich | M41.25,1
"Polyneuropathie, ED 2014 | G62.9",1
Adipositas Grad II | E66.01,1
Koxarthrose bds. | M16.9,1
Idiopatische Sauer-Parageusie | R43.2,1
"Koronare 2-Gefäßerkrankung, | I25.9",1
Degeneratives LWS-Syndrom | M47.26,1
Morbus Menière links | H81.0,1
Vorhofflimmern paroxysmal | I48.0,1
Psoriasiformes Ekzem | L20.9,1
V.a. Asthma bronchiale | J45.9,1
WS-Syndrom | G54.80,1
* Turner-Syndrom (ICD-10 | Q96.9,1
Chronischer Kopfschmerz | G44.3,1
Hirnorganisches Psychosyndrom mit leichter kognitiver Störung bei | F06.9,1
Kalottenfraktur und Frontobasisfraktur rechts | S06.9,1
Tinnitus aurium | H91.3,1
Degeneratives HWS Syndrom | M54.82,1
Spondylolisthesis L5/S1 | M43.17,1
"Z.n. Ileus bei stenosierendem Colon ascendens-Karcinom (pT3, G2, pN2b (20/25) Mx, lokal R0, L1, V1, Stadium III C. Z.n. Z.n. Hemicolektomie rechts mit Ileotransversostomie (07.06.2017) | C18.2",1
Zervikale Spinalkanalstenose mit beginnender zervikaler Myelopathie | M99.51,1
und ACPA-positiv | M05.90,1
Steatosis hepatis Grad II | K76.0,1
"Colitis ulcerosa, ED 08/2017 | K51.9",1
"Lungenfibrose unklarer Genese, ED 2018 | J84.1",1
"Beinbetonte, primär Axonale Polyneuropathie | G62.9",1
Restless leggs Sydrom | G25.81,1
"Rheumatoide Arthritis, Anti-CCP positiv, RF negativ, ED 2011 | M06.0",1
Kalkaneusfraktur 2006 nach Arbeitsunfall | M79.69,1
Z. n. Spondylodese 03/2006 | M54.16,1
"Z.n. Mamma CA re. 9/2024, mit konsek. Operation und Radio | C50.9",1
Fingergelenkarthrose III rechts | M19.94,1
Knieschmerzen rechts | M15.9,1
"Anti-CCP-Ak, Rheumafaktor positive rheumatoide Arthritis, ED 2011 | M05.90",1
Hypothyreose mit Substitutionstherapie | E03.8,1
"Koxarthrose links, Z.n. Hüft-TEP 2017 li | M16.1",1
Autonome Dysregulation mit generalisierter Hyperhidrose | G90.8,1
Reflux im Ösohpagus | K21.9,1
Interkostalneuralgie re. nach Rippenfraktur | G58.0,1
"Lipödem stammbetont, sowie Ober- und Unterschenkel bds. | I89.00",1
Adipositas Grad III | E66.06,1
Subjektive Hypersalivation | K11.7,1
Durchschlafstörungen | G47.9,1
Lumboischialgie bei mehrsegmental degenerativen Veränderungen | M54.4,1
Lumboischialgie derLWS bei arthrotischen Veränderungen | M54.4,1
Zervikobrachialsyndrom rechts | M53.1,1
"3-Gefäß-KHK, Z.n. minimal-invasiver CABG OP 05/10 | I25.9",1
Schulter-Arm-Syndrom links | M79.61,1
Reizdarsynrom | K58.0,1
Linksschenkelblock-EKG (anamnestisch seit ca. 20 Jahren bekannt) | I44.7,1
Obstruktives Schlafapnoesyndrom (CPAP-Therapie) | G47.31,1
Chronische linkseitige Gesichts- und Kopfschmerzen | G50.1,1
bei koronarer Dreigefäßerkrankung | I25.12,1
Hypercholesterinämie | E78.2,1
Lumboischialgie der LWS bei arthrotischen Veränderungen | M54.16,1
Rhizarthrose re | M18.9,1
"1-Gefäß-KHK mit hochgr. Stenose RCX, PTCA und Stent 3/2015 | I25.9",1
Chronisches WS-Syndrom | M54.89,1
Fingerpolyarthrose bds. | M15.8,1
Multifaktorielle Gangunsicherheit | R26.8,1
Bilaterale Vestibulopathie | H81.8,1
Sensible Polyneuropathie | G62.9,1
Vorhofflimmern mit teilweiser tachykarder Überleitung (ED 03/2012) | I48.9,1
Chronische Niereninsuffizienz | N18.9,1
Multiple Herzoperationen | Z98.8,1
Postoperative Hypothyreose bei Z.n. papilären Schilddrüsencarzinom 2013 | E03.9,1
Trockener Makuladegeneration | H35.3,1
Pseudoradikuläres Schmerzsyndrom mit Musculus piriformis Syndrom | G57.8,1
Prolaps L5/S1 | M54.4,1
Spannungskopfschmerzen | K44.2,1
Morbus Hailey-Hailey (Pemphigus chronicus benignus familiaris) | Q82.2,1
Allergische Kontaktdermatitis bei Nickelallergie | L23.0,1
Chronisches HWS-Syndrom bei degenerativen Veränderungen der HWS | M54.82,1
Demyelinisierend betonte sesomotorische Polyneuropathie | G62.9,1
Erschöpfung und Wetterfühligkeit mit emotionaler Instabilität | R53,1
Chronisch rezidivierende Dyspepsie | K30,1
Gastroösophageale Refluxerkrankung | K21.9,1
HWS-Syndrom linksseitig | M54.82,1
Pseudoradikuliäres lumbales Schmerzsyndrom links | M54.97,1
Bewegungsabhängige Schmerzen im Schulter-/Gürtelbereich links | M79.61,1
Belastungsabhängige Schmerzen beider Füße | M79.67,1
Atopisches [endogenes] Ekzem | L20.9,1
Sensomotorische demyelinisierende Polyneuropahtie | G62.9,1
Morbus Bechterew | M45.09,1
Ellenbogengelenkschmerzen bds. | M79.62,1
Migräneartige Kopfschmerzen | G44.8,1
HWS-Syndrom | M54.2,1
Knieschmerzen bds. | M79.66,1
Spreizfuß bds. | M19.91,1
Unklare Atembeschwerden | R06.88,1
Hashimoto-Thyreoiditis | E03.6,1
V.a. Reizdarm-Syndrom | K58.3,1
"Colitis ulcerosa, ED 2014 | K51.9",1
- nach i.v.-Antibiose mit Ceftriaxon 2 g/Tag für 14 Tage | Z86.1,1
Migräne | G47.9,1
Schlaflosigkeit | G47.0,1
"KHK, Z.n. MIC 2003 | I25.9",1
Überaktive Blase | N32.8,1
