term,document_count,percent
erschöpfungsgefühl schlappheit lustlosigkeit,2,0.3
winter kurzgefasst hätte diagnose,2,0.3
hätte diagnose,2,0.3
schlaf schlafstörungen,2,0.3
migräneattacken zwei,2,0.3
kopfschmerzen beschreibt migräneattacken,2,0.3
beschreibt migräneattacken,2,0.3
spannungskopfschmerzen halswirbelsäulenproblematik,2,0.3
beschwerdebild stellen kopfschmerzen zwei,2,0.3
stellen kopfschmerzen,2,0.3
spannungskopfschmerzen halswirbelsäulenproblematik zusammenhang,2,0.3
einen spannungskopfschmerzen,2,0.3
beschreibt migräneattacken zwei dreimal,2,0.3
betrage tage begleitet migräne,2,0.3
formen auftreten einen spannungskopfschmerzen,2,0.3
migräneattacken zwei dreimal monatlich,2,0.3
gelenke anstoß schmerzempfindlich fingerpolyarthrose,2,0.3
therapie ostechondrose syrinx bereich,2,0.3
ostechondrose syrinx bereich,2,0.3
rhizarthrose links therapieresistente pollenallergie,2,0.3
ostechondrose syrinx bereich weitere,2,0.3
ostechondrose syrinx,2,0.3
manuelle therapie ostechondrose,2,0.3
therapie ostechondrose,2,0.3
manuelle therapie ostechondrose syrinx,2,0.3
wärme manuelle therapie ostechondrose,2,0.3
hyperkyphose,2,0.3
hinaus sein schlaf durchschlafstörungen,2,0.3
vielen jahren zunehmende polyneuropathie,2,0.3
zunehmende polyneuropathie,2,0.3
jahren zunehmende polyneuropathie,2,0.3
depressionen seinem,2,0.3
einschlafstörungen sinne eines,2,0.3
muster einschlafstörungen sinne,2,0.3
wechselhaftes muster einschlafstörungen sinne,2,0.3
muster einschlafstörungen,2,0.3
können konzentrations merkfähigkeitsstörungen hinsichtlich,2,0.3
tinnitus nahezu,2,0.3
konzentrations merkfähigkeitsstörungen hinsichtlich schlafes,2,0.3
osteochondrosen,2,0.3
merkfähigkeitsstörungen hinsichtlich schlafes,2,0.3
sinne einer neurodermitis,2,0.3
wechselhaftes muster einschlafstörungen,2,0.3
muster einschlafstörungen sinne eines,2,0.3
einschlafstörungen sinne eines gedanklichen,2,0.3
schlafes wechselhaftes muster einschlafstörungen,2,0.3
chronischen multilokulären schmerzsyndrom rahmen,2,0.3
multilokulären schmerzsyndrom rahmen,2,0.3
erschöpfungsgefühl schlappheit lustlosigkeit starker,2,0.3
crohn zwölf darm,2,0.3
jeden zweiten depressionen seinem,2,0.3
crohn zwölf,2,0.3
hätte diagnose morbus crohn,2,0.3
jeden zweiten depressionen,2,0.3
morbus crohn zwölf darm,2,0.3
nutzt jeden zweiten depressionen,2,0.3
ausgeprägtes erschöpfungsgefühl schlappheit lustlosigkeit,2,0.3
kraftlosigkeit ausgeprägtes erschöpfungsgefühl schlappheit,2,0.3
starke kraftlosigkeit ausgeprägtes erschöpfungsgefühl,2,0.3
zweiten depressionen seinem,2,0.3
zweiten depressionen,2,0.3
kurzgefasst hätte diagnose,2,0.3
erschöpfungsgefühl schlappheit,2,0.3
einer reizdarmsymptomatik,2,0.3
konzentrations kurzeitgedächtnisstörungen sein schlaf,2,0.3
kurzeitgedächtnisstörungen sein schlaf,2,0.3
energieniveau konzentrations kurzeitgedächtnisstörungen,2,0.3
stimmung energieniveau konzentrations kurzeitgedächtnisstörungen,2,0.3
kurzeitgedächtnisstörungen sein,2,0.3
kurzeitgedächtnisstörungen sein schlaf einschlafstörungen,2,0.3
konzentrations kurzeitgedächtnisstörungen sein,2,0.3
jahr erschöpfungssymptomen ursächlich,2,0.3
jahr erschöpfungssymptomen ursächlich hierfür,2,0.3
konzentrationsstörungen berichtete,2,0.3
energieabhängig konzentrationsstörungen,2,0.3
konzentrationsstörungen berichtete borreliose,2,0.3
erheblich durchschlafstörungen gestört hinsichtlich,2,0.3
diagnose fibromyalgie gestellt jahren,2,0.3
einschlafstörungen sinne,2,0.3
merkfähigkeitsstörungen hinsichtlich schlafes wechselhaftes,2,0.3
energieabhängig konzentrationsstörungen berichtete,2,0.3
jahren borreliose gehabt,2,0.3
berichtete borreliose schubartigen,2,0.3
borreliose gehabt,2,0.3
jahren borreliose,2,0.3
borreliose schubartigen knieschmerzen beidseits,2,0.3
borreliose schubartigen knieschmerzen,2,0.3
konzentrationsstörungen berichtete borreliose schubartigen,2,0.3
borreliose schubartigen,2,0.3
berichtete borreliose schubartigen knieschmerzen,2,0.3
energieabhängig konzentrationsstörungen berichtete borreliose,2,0.3
berichtete borreliose,2,0.3
abgeschlagenheit schlaf durchschlafstörungen,2,0.3
abgeschlagenheit schlaf durchschlafstörungen gestört,2,0.3
erschöpfungszustand kraftlosigkeit,2,0.3
spannungskopfschmerzen zeit,2,0.3
patienten colitis ulcerosa befall,2,0.3
patienten colitis ulcerosa,2,0.3
colitis ulcerosa befall enddarms,2,0.3
colitis ulcerosa befall,2,0.3
eines vorbekannten reizdarmsyndroms,2,0.3
rahmen eines vorbekannten reizdarmsyndroms,2,0.3
vorbekannten reizdarmsyndroms,2,0.3
schlafstörungen konzentrations,2,0.3
rheumatologische abklärung wegweisenden hinweis,2,0.3
lumboischialgie,2,0.3
koxarthrose rechts,2,0.3
linderung wärme physiotherapie ostechondrose,2,0.3
physiotherapie ostechondrose,2,0.3
wärme physiotherapie ostechondrose,2,0.3
vielen jahren zervikobrachialgien,2,0.3
borreliose kopfschmerzen,2,0.3
sorgen polyneuropathie,2,0.3
polyneuropathie gehfähigkeit,2,0.3
sorgen polyneuropathie gehfähigkeit,2,0.3
polyneuropathie gehfähigkeit verliere,2,0.3
sorgen polyneuropathie gehfähigkeit verliere,2,0.3
zukunftsängste sorgen polyneuropathie,2,0.3
polyneuropathie gehfähigkeit verliere chronischen,2,0.3
zukunftsängste sorgen polyneuropathie gehfähigkeit,2,0.3
cephalgien,2,0.3
zwanzig jahren tinnitus aurium,2,0.3
spinalstenose,2,0.3
zwanzig jahren tinnitus,2,0.3
fortgeschrittener coxarthrose,2,0.3
konzentrationsstörungen fühle,2,0.3
schwindelgefühl,2,0.3
patienten colitis,2,0.3
migräne wechseljahren,2,0.3
migräne fügt hinzu migräne,2,0.3
übelkeit erbrechen begleitet migräneanfälle,2,0.3
kopf migräne,2,0.3
durchschlafstörungen erschwerend,2,0.3
gelegentliche durchschlafstörungen,2,0.3
einschlafstörungen gelegentliche,2,0.3
schlafapnoesyndrom,2,0.3
allergische rhinitis,2,0.3
einschlafstörungen gelegentliche durchschlafstörungen,2,0.3
rhinitis,2,0.3
kopfschmerzen treten fast,2,0.3
pfeifen tinnitus unterschiedlicher,2,0.3
rheumatologische abklärung wegweisenden,2,0.3
rheumatischen,2,0.3
starke zukunftsängste sorgen polyneuropathie,2,0.3
migräne fügt,2,0.3
bezug migräne fügt hinzu,2,0.3
rechts ganzen kopf migräne,2,0.3
aura migräne licht,2,0.3
migräne besten,2,0.3
ganzen kopf migräne besten,2,0.3
bezug migräne fügt,2,0.3
fügt hinzu migräne,2,0.3
kälte bezug migräne fügt,2,0.3
begleitet migräneanfälle monat,2,0.3
migräne wechseljahren etwas,2,0.3
migräneanfälle monat auftreten,2,0.3
hinzu migräne wechseljahren,2,0.3
hinzu migräne,2,0.3
besserung kälte bezug migräne,2,0.3
migräneanfälle monat auftreten dauern,2,0.3
einer gicht arthritis finger,2,0.3
arthritis finger handgelenken,2,0.3
einer gicht arthritis,2,0.3
rahmen einer gicht arthritis,2,0.3
einer gastroösophagealen refluxkrankheit ösophagitis,2,0.3
arthritis finger handgelenken sprunggelenke,2,0.3
gicht arthritis finger,2,0.3
refluxkrankheit ösophagitis,2,0.3
rhizarthrose diagnostiziert,2,0.3
lungenfibrose,2,0.3
tinnitus aurium rechts charakter,2,0.3
vierzig jahren migräne,2,0.3
bezug migräne,2,0.3
migräne licht geräuschempfindlichkeit tränende,2,0.3
ganzen kopf migräne,2,0.3
jahren migräne aura migräne,2,0.3
kopf migräne besten,2,0.3
migräne wechseljahren etwas nachgelassen,2,0.3
vierzig jahren migräne aura,2,0.3
erbrechen begleitet migräneanfälle monat,2,0.3
migräne besten hilft,2,0.3
fügt hinzu migräne wechseljahren,2,0.3
hinzu migräne wechseljahren etwas,2,0.3
migräne besten hilft wenn,2,0.3
aura migräne licht geräuschempfindlichkeit,2,0.3
begleitet migräneanfälle monat auftreten,2,0.3
migräne aura migräne licht,2,0.3
migräne fügt hinzu,2,0.3
arthritis finger,2,0.3
gastroösophagealen refluxkrankheit ösophagitis,2,0.3
gicht arthritis,2,0.3
gicht arthritis finger handgelenken,2,0.3
erschöpfung ausgeprägte,2,0.3
ausgeprägten psychophysischen erschöpfung ausgeprägte,2,0.3
psychophysischen erschöpfung ausgeprägte,2,0.3
merkfähigkeitsstörungen schlaf durschlafstörungen,2,0.3
merkfähigkeitsstörungen schlaf durschlafstörungen gestört,2,0.3
konzentrations merkfähigkeitsstörungen schlaf durschlafstörungen,2,0.3
jahren verdauungsstörungen zeigten meistens,2,0.3
jahren verdauungsstörungen zeigten,2,0.3
läge hinzu kämen durchschlafstörungen,2,0.3
kämen durchschlafstörungen,2,0.3
hinzu kämen durchschlafstörungen,2,0.3
tinnitus welcher,2,0.3
vorher gereizt schlaf durchschlafstörungen,2,0.3
kopf migräne besten hilft,2,0.3
migräneanfälle monat,2,0.3
kälte bezug migräne,2,0.3
rheumatica hauptmanifestation,2,0.3
polymyalgia rheumatica hauptmanifestation,2,0.3
einer polymyalgia rheumatica hauptmanifestation,2,0.3
jahren erschöpfungssymptome,2,0.3
jahren tinnitus aurium rechts,2,0.3
zervikobrachialgien symptomatik fünf,2,0.3
fiber polyneuropathie,2,0.3
dorsalgien bereich schmerzen strahlen,2,0.3
jahren zervikobrachialgien symptomatik fünf,2,0.3
aufnahmegespräch zwanzig jahren zervikobrachialgien,2,0.3
polyneuropathie unteren,2,0.3
zervikobrachialgien symptomatik fünf jahren,2,0.3
polyneuropathie unteren extremitäten,2,0.3
neuropathie diagnostiziert,2,0.3
small fiber neuropathie diagnostiziert,2,0.3
fiber neuropathie diagnostiziert,2,0.3
tinnitus aurium charakter eines,2,0.3
burnout,2,0.3
osteoporose,2,0.3
divertikulose,2,0.3
beidseitigen tinnitus aurium,2,0.3
geworden konzentrations merkfähigkeitsstörungen innere,2,0.3
merkfähigkeitsstörungen innere unruhe schlaf,2,0.3
aufnahmegespräch chronischen dorsalgien allen,2,0.3
aufnahmegespräch chronischen dorsalgien,2,0.3
antrumgastritis,2,0.3
jahren rhizarthrose,2,0.3
einem rheumatologen,2,0.3
bestehendes problem chronisches syndrom,2,0.3
problem chronisches syndrom,2,0.3
erschöpfungssymptome,2,0.3
schmerzsymptomatik rahmen einer polymyalgia,2,0.3
eines migräneanfalls,2,0.3
erschöpfungssymptomatik symptomatik zwei,2,0.3
jahren erschöpfungssymptomatik symptomatik,2,0.3
während eines migräneanfalls,2,0.3
kopfschmerzen praktisch,2,0.3
zervikobrachialsyndrom chronisches syndrom belastungsabhängige,2,0.3
migräneattacken chronisches zervikobrachialsyndrom,2,0.3
anhalten rezidivierende migräneattacken chronisches,2,0.3
chronische kopfschmerzen praktisch,2,0.3
polyarthrose jahren,2,0.3
erschöpfung verminderte körperliche,2,0.3
erschöpfung verminderte,2,0.3
erschöpfung verminderte körperliche belastbarkeit,2,0.3
atrophie,2,0.3
jahren kopfschmerzen spannungstyp,2,0.3
aufnahmegespräch jahren kopfschmerzen,2,0.3
rezidivierende migräneattacken,2,0.3
syndrom belastungsabhängige gonalgien,2,0.3
syndrom belastungsabhängige,2,0.3
chronisches zervikobrachialsyndrom,2,0.3
stunden anhalten rezidivierende migräneattacken,2,0.3
parkinson syndrom,2,0.3
kopfschmerzen stirn,2,0.3
jahren müdigkeitssyndrom,2,0.3
anhaltender erschöpfung,2,0.3
diagnose eines,2,0.3
zunehmender erschöpfung,2,0.3
einem jahr zervikobrachialgien,2,0.3
jahr zervikobrachialgien,2,0.3
migräneanfalls,2,0.3
jahren erschöpfungssymptomatik symptomatik zwei,2,0.3
bronchitis symptomatik,2,0.3
belastungsabhängige gonalgien beidseits,2,0.3
chronisches zervikobrachialsyndrom chronisches syndrom,2,0.3
migräneattacken chronisches zervikobrachialsyndrom chronisches,2,0.3
beschwerden chronische kopfschmerzen,2,0.3
belastungsabhängige gonalgien,2,0.3
migräneattacken chronisches,2,0.3
behandlungsbedürftige beschwerden chronische kopfschmerzen,2,0.3
beschwerden chronische kopfschmerzen praktisch,2,0.3
chronisches syndrom belastungsabhängige gonalgien,2,0.3
syndrom belastungsabhängige gonalgien beidseits,2,0.3
zervikobrachialsyndrom chronisches,2,0.3
gonalgien beidseits aufrichten hocke,2,0.3
belastungsabhängige gonalgien beidseits aufrichten,2,0.3
anhalten rezidivierende migräneattacken,2,0.3
rezidivierende migräneattacken chronisches zervikobrachialsyndrom,2,0.3
gonalgien beidseits aufrichten,2,0.3
grüble viel konzentrations merkfähigkeitsstörungen,2,0.3
jahren ausgeprägten durchschlafstörungen,2,0.3
gelegentliche spannungskopfschmerzen,2,0.3
zurückhaltend geworden schlaf durchschlafstörungen,2,0.3
aufnahmegespräch jahren erschöpfungssymptomen,2,0.3
seiner erschöpfung,2,0.3
dorsalgien bereich anhaltende schmerzen,2,0.3
dorsalgien bereich anhaltende,2,0.3
differenzialdiagnosen,2,0.3
häufig durchschlafstörungen,2,0.3
dreißig jahren chronischen dorsalgien,2,0.3
angespannt sein schlaf durchschlafstörungen,2,0.3
kopfschmerzen praktisch jeden,2,0.3
chronisches zervikobrachialsyndrom chronisches,2,0.3
rezidivierende migräneattacken chronisches,2,0.3
zervikobrachialsyndrom chronisches syndrom,2,0.3
fibromyalgie vermutet hinsichtlich,2,0.3
jahren zervikobrachialgien symptomatik jahren,2,0.3
fibromyalgie vermutet,2,0.3
rheumatologin,2,0.3
essentieller tremor diagnose,2,0.3
essentieller tremor diagnose vermutet,2,0.3
tremor diagnose vermutet,2,0.3
tremor diagnose,2,0.3
diagnose vermutet,2,0.3
durchschlafstörungen häufigem,2,0.3
gonalgien,2,0.3
gonalgien beidseits,2,0.3
chronische kopfschmerzen praktisch jeden,2,0.3
chronisches syndrom belastungsabhängige,2,0.3
kopfschmerzen praktisch jeden zweiten,2,0.3
viel konzentrations merkfähigkeitsstörungen,2,0.3
nahrungsmittelunverträglichkeiten lactose,2,0.3
jahren bekanntes reizdarmsyndrom,2,0.3
patienten diagnose,2,0.3
diagnostizierten polyneuropathie,2,0.3
schwindelgefühle,2,0.3
konzentrations merkfähigkeitsstörungen stimmung wechselhaft,2,0.3
merkfähigkeitsstörungen stimmung wechselhaft,2,0.3
merkfähigkeitsstörungen stimmung wechselhaft häufig,2,0.3
gefasst atopischer dermatitis,2,0.3
berichte gefasst atopischer dermatitis,2,0.3
atopischer dermatitis,2,0.3
aufmerksamkeitsstörungen,2,0.3
konzentrations aufmerksamkeitsstörungen,2,0.3
einem ausgeprägten erschöpfungsgefühl,2,0.3
ausgeprägten erschöpfungsgefühl,2,0.3
wache einem ausgeprägten erschöpfungsgefühl,2,0.3
somatischer beschwerden jahren dorsalgien,2,0.3
charakter pfeifen tinnitus vorhanden,2,0.3
beschwerden jahren dorsalgien bereich,2,0.3
jahren tinnitus aurium links,2,0.3
gegen kopfschmerzen,2,0.3
belastungsstörung,2,0.3
nackenbeschwerden auftretenden kopfschmerzen,2,0.3
lyme arthritis,2,0.3
pfeifton tinnitus unterschiedlicher intensität,2,0.3
pfeifton tinnitus unterschiedlicher,2,0.3
auftretenden kopfschmerzen,2,0.3
nackenbeschwerden auftretenden kopfschmerzen symptomatik,2,0.3
einschlafstörungen beeinträchtigt,2,0.3
früher konzentrations merkfähigkeitsstörungen schlaf,2,0.3
allem einschlafstörungen,2,0.3
bekanntes reizdarmsyndrom,2,0.3
müdigkeitssyndrom bestehende,2,0.3
konzentrations merkfähigkeitsstörungen erhöhter,2,0.3
erschöpfung reduzierter,2,0.3
konzentrations merkfähigkeitsstörungen erhöhter beanspruchung,2,0.3
stehen chronisches müdigkeitssyndrom bestehende,2,0.3
chronisches müdigkeitssyndrom bestehende,2,0.3
merkfähigkeitsstörungen erhöhter beanspruchung,2,0.3
anhaltende erschöpfung,2,0.3
träten konzentrations merkfähigkeitsstörungen erhöhter,2,0.3
reizdarmsyndrom vermutet drei jahren,2,0.3
reizdarmsyndrom vermutet drei,2,0.3
drei jahren zunehmende erschöpfungssymptomatik,2,0.3
treten kopfschmerzen täglich,2,0.3
intensität tinnitus,2,0.3
tinnitus morgens,2,0.3
beschwerden jahren dorsalgien,2,0.3
arthritis urica diagnostiziert zeit,2,0.3
hoher pfeifton tinnitus unterschiedlicher,2,0.3
kopfschmerzen symptomatik fünf jahren,2,0.3
auftretenden kopfschmerzen symptomatik,2,0.3
jahr arthritis,2,0.3
jahr arthritis urica,2,0.3
jahr arthritis urica diagnostiziert,2,0.3
chronischen bronchitis dies äußert,2,0.3
bronchitis dies äußert,2,0.3
bronchitis dies,2,0.3
chronischen bronchitis dies,2,0.3
merkfähigkeitsstörungen erhöhter,2,0.3
müdigkeitssyndrom bestehende chronische schmerzproblematik,2,0.3
erschöpfung reduzierter belastbarkeit,2,0.3
müdigkeitssyndrom bestehende chronische,2,0.3
chronisches müdigkeitssyndrom bestehende chronische,2,0.3
konzentrationsstörungen merkfähigkeitsstörungen sein schlaf,2,0.3
störung hinsichtlich somatischer beschwerden,2,0.3
tritt klinisch einer restless,2,0.3
einer restless legs,2,0.3
lumbalsyndrom beschwerden äußern ziehenden,2,0.3
bestehendes zervikobrachialsyndrom rezidivierende,2,0.3
zervikobrachialsyndrom rezidivierende,2,0.3
einer restless,2,0.3
klinisch einer restless legs,2,0.3
zervikobrachialsyndrom rezidivierende spannungsartige schmerzen,2,0.3
einer bekannten arthrose,2,0.3
restless legs symptomatik entspricht,2,0.3
kopfschmerzen symptomatik fünf,2,0.3
auftretenden kopfschmerzen symptomatik fünf,2,0.3
arthritis urica diagnostiziert,2,0.3
arthritis urica,2,0.3
kopf anhaltenden kopfschmerzen halsschmerzen,2,0.3
mehreren jahren bestehendes zervikobrachialsyndrom,2,0.3
hinaus einem chronischen lumbalsyndrom,2,0.3
jahren bestehendes zervikobrachialsyndrom rezidivierende,2,0.3
jahren bestehendes zervikobrachialsyndrom,2,0.3
bronchitis dies äußert allem,2,0.3
einer chronischen bronchitis dies,2,0.3
rahmen einer chronischen bronchitis,2,0.3
polyneuropathie brennenden,2,0.3
polyneuropathie brennenden drückenden schmerzen,2,0.3
polyneuropathie brennenden drückenden,2,0.3
appendizitis,2,0.3
merkfähigkeitsstörungen sein schlaf ausgeprägten,2,0.3
zusätzlich konzentrationsstörungen merkfähigkeitsstörungen sein,2,0.3
konzentrationsstörungen merkfähigkeitsstörungen sein,2,0.3
sein schlaf ausgeprägten durchschlafstörungen,2,0.3
bestehendes zervikobrachialsyndrom,2,0.3
rahmen einer bekannten arthrose,2,0.3
einer restless legs symptomatik,2,0.3
klinisch einer restless,2,0.3
störung hinsichtlich,2,0.3
störung hinsichtlich somatischer,2,0.3
hierzu gehören durchschlafstörungen,2,0.3
komplex hierzu gehören durchschlafstörungen,2,0.3
gehören durchschlafstörungen kopfschmerzen infektanfälligkeit,2,0.3
durchschlafstörungen kopfschmerzen infektanfälligkeit allem,2,0.3
kopfschmerzen halsschmerzen äußert gesamte,2,0.3
anhaltenden kopfschmerzen halsschmerzen,2,0.3
kopfschmerzen halsschmerzen,2,0.3
gehören durchschlafstörungen kopfschmerzen,2,0.3
anhaltenden kopfschmerzen halsschmerzen äußert,2,0.3
durchschlafstörungen kopfschmerzen,2,0.3
chronisches fatigue syndrom,2,0.3
bekannten arthrose,2,0.3
bestehendes zervikobrachialsyndrom rezidivierende spannungsartige,2,0.3
kopfschmerzen infektanfälligkeit allem starken,2,0.3
gehören durchschlafstörungen,2,0.3
kopfschmerzen infektanfälligkeit allem,2,0.3
kopfschmerzen infektanfälligkeit,2,0.3
durchschlafstörungen kopfschmerzen infektanfälligkeit,2,0.3
kopf anhaltenden kopfschmerzen,2,0.3
hierzu gehören durchschlafstörungen kopfschmerzen,2,0.3
starken kopf anhaltenden kopfschmerzen,2,0.3
kopfschmerzen halsschmerzen äußert,2,0.3
tinnitus charakter hoher pfeifton,2,0.3
hoher pfeifton tinnitus nacht,2,0.3
einem beidseitigen tinnitus charakter,2,0.3
zervikobrachialsyndrom rezidivierende spannungsartige,2,0.3
hinaus jahren zunehmende erschöpfungssymptomatik,2,0.3
arthritis allem beide,2,0.3
psoriasis arthritis allem beide,2,0.3
erschöpfungssymptomatik aufgrund sowohl,2,0.3
zunehmende erschöpfungssymptomatik aufgrund sowohl,2,0.3
beidseitigen tinnitus charakter hoher,2,0.3
beidseitigen tinnitus charakter,2,0.3
tinnitus charakter,2,0.3
tinnitus charakter hoher,2,0.3
genügen können konzentrations merkfähigkeitsstörungen,2,0.3
chronische bronchitis,2,0.3
jahren zunehmende erschöpfungssymptomatik aufgrund,2,0.3
verdauungsstörungen zeigten meistens magendruckgefühl,2,0.3
zunehmende erschöpfungssymptomatik aufgrund,2,0.3
erschöpfungssymptomatik aufgrund sowohl beruflicher,2,0.3
durchschlafstörungen schlafe,2,0.3
aufnahmegespräch zwei jahr erschöpfungssymptomatik,2,0.3
merkfähigkeitsstörungen schlaf genug,2,0.3
zwei jahr erschöpfungssymptomatik,2,0.3
einer gonarthrose belastungsabhängige,2,0.3
knieschmerzen rahmen einer gonarthrose,2,0.3
gonarthrose belastungsabhängige knieschmerzen,2,0.3
einer gonarthrose belastungsabhängige knieschmerzen,2,0.3
wegen kopfschmerzen,2,0.3
kopfschmerzen halten,2,0.3
rahmen einer gonarthrose belastungsabhängige,2,0.3
kopfschmerzen einer,2,0.3
migräneanfälle licht geräuschempfindlichkeit,2,0.3
migräneanfälle licht geräuschempfindlichkeit rückzugsbedürfnis,2,0.3
zehn jahren zervikobrachialgien,2,0.3
gonarthrose belastungsabhängige,2,0.3
migräneanfälle licht,2,0.3
konzentrations merkfähigkeitsstörungen schlaf genug,2,0.3
beschwerden chronischen dorsalgien allen,2,0.3
angst depression hinsichtlich somatischer,2,0.3
symptomatik angst depression,2,0.3
angst depression hinsichtlich,2,0.3
symptomatik angst depression hinsichtlich,2,0.3
angst depression,2,0.3
gemischte symptomatik angst depression,2,0.3
arthrose chronischen beschwerden,2,0.3
arthrose chronischen,2,0.3
arthrose chronischen beschwerden erträgliches,2,0.3
bestehende dorsalgien bereich jahren,2,0.3
vielen jahren bestehende dorsalgien,2,0.3
schwankschwindel symptomatik,2,0.3
einschlafstörungen durchschlafstörungen gestört,2,0.3
einschlafstörungen durchschlafstörungen gestört hinsichtlich,2,0.3
durchschlafstörungen geprägt,2,0.3
schlaf durchschlafstörungen geprägt,2,0.3
erreicht konzentrations merkfähigkeitsstörungen stimmung,2,0.3
bursitis subacromialis,2,0.3
aspirin migräne,2,0.3
gedrückt ausgeprägten konzentrations merkfähigkeitsstörungen,2,0.3
merkfähigkeitsstörungen sein schlaf genug,2,0.3
vielen jahren einem tinnitus,2,0.3
schlaf durchschlafstörungen beeinträchtigt bestehende,2,0.3
durchschlafstörungen beeinträchtigt bestehende müdigkeitssymptomatik,2,0.3
sommermonaten schlaf durchschlafstörungen,2,0.3
durchschlafstörungen beeinträchtigt bestehende,2,0.3
charakter tinnitus,2,0.3
sommermonaten schlaf durchschlafstörungen beeinträchtigt,2,0.3
merkfähigkeitsstörungen schlaf genug erholsam,2,0.3
zwei jahr erschöpfungssymptomatik erschöpft,2,0.3
frühlings sommermonaten schlaf durchschlafstörungen,2,0.3
reizdarm vermutet,2,0.3
sigmadivertikulose,2,0.3
tinnitus beidseits lokalisiert,2,0.3
entspricht einer migräne,2,0.3
kopfschmerzen zwei unterschiedlichen,2,0.3
tinnitus beidseits lokalisiert kontinuierlich,2,0.3
tinnitus beidseits,2,0.3
blasenentleerungsstörung deutlicher restharnbildung,2,0.3
blasenentleerungsstörung deutlicher,2,0.3
patienten blasenentleerungsstörung,2,0.3
patienten blasenentleerungsstörung deutlicher restharnbildung,2,0.3
beinen patienten blasenentleerungsstörung deutlicher,2,0.3
beinen patienten blasenentleerungsstörung,2,0.3
patienten blasenentleerungsstörung deutlicher,2,0.3
erreicht schlaf durchschlafstörungen,2,0.3
syndrom magen darm beschwerden,2,0.3
andauernde erschöpfung,2,0.3
blasenentleerungsstörung deutlicher restharnbildung april,2,0.3
schweregefühl beinen patienten blasenentleerungsstörung,2,0.3
blasenentleerungsstörung,2,0.3
empfunden lumbalgien sitzen,2,0.3
schmerzen dumpfe empfunden lumbalgien,2,0.3
monoarthritis,2,0.3
monoarthritis rechten,2,0.3
lumbalgien sitzen,2,0.3
dumpfe empfunden lumbalgien,2,0.3
syndrom chronischen,2,0.3
neuropathische,2,0.3
februar tinnitus aurium,2,0.3
februar tinnitus,2,0.3
zurückhaltend geworden konzentrationsstörungen sein,2,0.3
erreicht konzentrations merkfähigkeitsstörungen innere,2,0.3
somatischen beschwerden chronischen dorsalgien,2,0.3
mehrfähigkeitsstörungen schlaf allem durchschlafstörungen,2,0.3
gesichtslähmung,2,0.3
gereizt konzentrations mehrfähigkeitsstörungen schlaf,2,0.3
schnell gereizt konzentrations mehrfähigkeitsstörungen,2,0.3
mehrfähigkeitsstörungen schlaf allem,2,0.3
gereizt konzentrations mehrfähigkeitsstörungen,2,0.3
karpaltunnelsyndrom,2,0.3
fünfzehn jahren zunehmende erschöpfungssymptomatik,2,0.3
syndrom magen,2,0.3
syndrom diagnostiziert,2,0.3
syndrom magen darm,2,0.3
jahr diagnose fibromyalgie,2,0.3
syndrom diagnostiziert chronischen,2,0.3
jahr diagnose fibromyalgie gestellt,2,0.3
kopfschmerzen einen,2,0.3
durchschlafstörungen zusätzlich,2,0.3
schwindels,2,0.3
schwankend konzentrations merkfähigkeitsstörungen,2,0.3
